sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
TFECCG_S	TFECCG	soil	23-07-2019	08:08:00_AM	ERS18958986	sample processed and sequenced
TK3EAJ_S	TK3EAJ	soil	30-06-2019	05:15:00_PM	ERS18959057	sample processed and sequenced
TKBVDW_S	TKBVDW	soil	20-07-2019	12:10:00_PM	ERS18959061	sample processed and sequenced
TLY1VQ_S	TLY1VQ	soil	23-07-2019	04:15:00_PM	ERS18959087	sample processed and sequenced
TM5LBB_S	TM5LBB	soil	01-07-2019	01:30:00_PM	ERS18959091	sample processed and sequenced
TTA2EM_S	TTA2EM	soil	09-07-2019	04:00:00_PM	ERS18959159	sample processed and sequenced
TUQQIV_S	TUQQIV	soil	15-07-2019	06:20:00_PM	ERS18959181	sample processed and sequenced
TXHDAT_S	TXHDAT	soil	09-07-2019	11:50:00_AM	ERS18959213	sample processed and sequenced
TZFRJA_S	TZFRJA	soil	18-07-2019	01:14:00_PM	ERS18959235	sample processed and sequenced
TZRRMG_S	TZRRMG	soil	17-07-2019	02:35:00_PM	ERS18959239	sample processed and sequenced
TZXF7I_S	TZXF7I	soil	25-07-2019	01:50:00_PM	ERS18959245	sample processed and sequenced
TARUGI_S	TARUGI	soil	16-07-2019	02:20:00_PM	ERS18958938	sample processed and sequenced
TBGIW1_S	TBGIW1	soil	03-07-2019	04:00:00_PM	ERS18958940	sample processed and sequenced
TC8QBB_S	TC8QBB	soil	23-07-2019	01:00:00_PM	ERS18958952	sample processed and sequenced
TDGVY8_S	TDGVY8	soil	11-07-2019	03:00:00_PM	ERS18958968	sample processed and sequenced
TJNMNV_S	TJNMNV	soil	17-07-2019	10:30:00_AM	ERS18959043	sample processed and sequenced
TMNPJH_S	TMNPJH	soil	01-07-2019	05:00:00_PM	ERS18959099	sample processed and sequenced
TMYD2K_S	TMYD2K	soil	25-07-2019	01:00:00_PM	ERS18959105	sample processed and sequenced
TS6VW9_S	TS6VW9	soil	20-07-2019	02:10:00_PM	ERS18959139	sample processed and sequenced
TSTZUY_S	TSTZUY	soil	26-07-2019	01:15:00_PM	ERS18959153	sample processed and sequenced
T1TL12_S	T1TL12	soil	02-07-2019	01:20:00_PM	ERS18958878	sample processed and sequenced
T2YFPK_S	T2YFPK	soil	09-07-2019	09:07:00_AM	ERS18958888	sample processed and sequenced
T2YSPU_S	T2YSPU	soil	04-07-2019	02:20:00_PM	ERS18958890	sample processed and sequenced
T3NLMJ_S	T3NLMJ	soil	09-07-2019	01:20:00_PM	ERS18958892	sample processed and sequenced
T5KGVY_S	T5KGVY	soil	23-07-2019	04:25:00_PM	ERS18958900	sample processed and sequenced
T6LS76_S	T6LS76	soil	22-07-2019	05:00:00_PM	ERS18958910	sample processed and sequenced
T83QWB_S	T83QWB	soil	11-07-2019	12:20:00_PM	NA	sample processed but sequencing failed
T8B7KU_S	T8B7KU	soil	26-07-2019	11:20:00_AM	ERS18958922	sample processed and sequenced
T8EUCF_S	T8EUCF	soil	10-07-2019	10:25:00_AM	ERS18958924	sample processed and sequenced
T9DY9N_S	T9DY9N	soil	08-07-2019	12:25:00_PM	ERS18958928	sample processed and sequenced
T9UPWP_S	T9UPWP	soil	17-07-2019	10:00:00_AM	ERS18958930	sample processed and sequenced
TAPGMG_S	TAPGMG	soil	12-07-2019	08:45:00_AM	ERS18958936	sample processed and sequenced
TBPT1B_S	TBPT1B	soil	20-07-2019	11:00:00_AM	ERS18958946	sample processed and sequenced
TGCHAV_S	TGCHAV	soil	19-07-2019	03:30:00_PM	ERS18959008	sample processed and sequenced
TIAIK1_S	TIAIK1	soil	17-07-2019	10:30:00_AM	NA	sample processed but sequencing failed
TLFBSS_S	TLFBSS	soil	01-07-2019	08:50:00_AM	ERS18959081	sample processed and sequenced
TMXZCE_S	TMXZCE	soil	18-07-2019	12:30:00_PM	ERS18959103	sample processed and sequenced
TPXB6L_S	TPXB6L	soil	12-07-2019	09:40:00_AM	ERS18959119	sample processed and sequenced
TS2P4Q_S	TS2P4Q	soil	16-07-2019	02:30:00_PM	ERS18959137	sample processed and sequenced
TSVHD1_S	TSVHD1	soil	23-07-2019	11:35:00_AM	ERS18959155	sample processed and sequenced
TTE4BQ_S	TTE4BQ	soil	03-07-2019	10:45:00_AM	ERS18959163	sample processed and sequenced
TTNYZZ_S	TTNYZZ	soil	11-07-2019	01:37:00_PM	ERS18959165	sample processed and sequenced
TUBWQK_S	TUBWQK	soil	11-07-2019	08:49:00_AM	ERS18959171	sample processed and sequenced
TV6Z5Y_S	TV6Z5Y	soil	15-07-2019	07:30:00_PM	ERS18959187	sample processed and sequenced
TWJED2_S	TWJED2	soil	19-07-2019	10:20:00_AM	ERS18959199	sample processed and sequenced
TWVCXF_S	TWVCXF	soil	15-07-2019	09:45:00_AM	ERS18959209	sample processed and sequenced
TXLZ8M_S	TXLZ8M	soil	21-07-2019	05:00:00_PM	ERS18959215	sample processed and sequenced
TYDUPV_S	TYDUPV	soil	11-07-2019	10:20:00_AM	ERS18959221	sample processed and sequenced
TYKZSN_S	TYKZSN	soil	16-07-2019	12:40:00_PM	ERS18959225	sample processed and sequenced
TZVTYZ_S	TZVTYZ	soil	02-07-2019	09:00:00_AM	ERS18959241	sample processed and sequenced
TZZ9UM_S	TZZ9UM	soil	05-07-2019	09:10:00_AM	ERS18959247	sample processed and sequenced
T2KQJZ_S	T2KQJZ	soil	23-07-2019	02:45:00_PM	ERS18958882	sample processed and sequenced
T4EMTM_S	T4EMTM	soil	20-07-2019	02:50:00_PM	NA	sample processed but sequencing failed
T5ZUGG_S	T5ZUGG	soil	08-07-2019	09:50:00_AM	ERS18958906	sample processed and sequenced
TAI56Z_S	TAI56Z	soil	03-07-2019	11:30:00_AM	ERS18958932	sample processed and sequenced
TEVVLD_S	TEVVLD	soil	04-07-2019	10:00:00_AM	ERS18958980	sample processed and sequenced
TF3STP_S	TF3STP	soil	04-07-2019	03:00:00_PM	ERS18958984	sample processed and sequenced
TFFDRE_S	TFFDRE	soil	19-07-2019	01:00:00_PM	NA	sample processed but sequencing failed
TGTDBY_S	TGTDBY	soil	12-07-2019	02:20:00_PM	ERS18959010	sample processed and sequenced
